charger_pk,weekday,hour,사용빈도수
178,0,10,0.4230769230769231
178,0,11,0.49038461538461536
178,0,12,0.40384615384615385
178,0,13,0.34615384615384615
178,0,14,0.41346153846153844
178,0,15,0.40384615384615385
178,0,16,0.41346153846153844
178,0,17,0.5
178,0,18,0.40384615384615385
178,0,19,0.3269230769230769
178,0,20,0.23076923076923078
178,0,21,0.19230769230769232
178,0,22,0.11538461538461539
178,0,23,0.057692307692307696
178,1,0,0.04807692307692308
178,1,1,0.038461538461538464
178,1,2,0.028846153846153848
178,1,3,0.028846153846153848
178,1,4,0.028846153846153848
178,1,5,0.0673076923076923
178,1,6,0.09615384615384616
178,1,7,0.125
178,1,8,0.25961538461538464
178,1,9,0.28846153846153844
178,1,10,0.375
178,1,11,0.4519230769230769
178,1,12,0.41346153846153844
178,1,13,0.36538461538461536
178,1,14,0.2980769230769231
178,1,15,0.3942307692307692
178,1,16,0.4230769230769231
178,1,17,0.4326923076923077
178,1,18,0.33653846153846156
178,1,19,0.27884615384615385
178,1,20,0.2692307692307692
178,1,21,0.23076923076923078
178,1,22,0.11538461538461539
178,1,23,0.07692307692307693
178,2,0,0.08653846153846154
178,2,1,0.038461538461538464
178,2,2,0.038461538461538464
178,2,3,0.028846153846153848
178,2,4,0.038461538461538464
178,2,5,0.08653846153846154
178,2,6,0.17307692307692307
178,2,7,0.1346153846153846
178,2,8,0.16346153846153846
178,2,9,0.25
178,2,10,0.4230769230769231
178,2,11,0.33653846153846156
178,2,12,0.33653846153846156
178,2,13,0.41346153846153844
178,2,14,0.34615384615384615
178,2,15,0.38461538461538464
178,2,16,0.4230769230769231
178,2,17,0.3942307692307692
178,2,18,0.4423076923076923
178,2,19,0.2980769230769231
178,2,20,0.125
178,2,21,0.20192307692307693
178,2,22,0.22115384615384615
178,2,23,0.18269230769230768
178,3,0,0.11538461538461539
178,3,1,0.08653846153846154
178,3,2,0.04807692307692308
178,3,3,0.028846153846153848
178,3,4,0.057692307692307696
178,3,5,0.14423076923076922
178,3,6,0.20192307692307693
178,3,7,0.17307692307692307
178,3,8,0.21153846153846154
178,3,9,0.33653846153846156
178,3,10,0.41346153846153844
178,3,11,0.47115384615384615
178,3,12,0.3557692307692308
178,3,13,0.375
178,3,14,0.375
178,3,15,0.41346153846153844
178,3,16,0.47115384615384615
178,3,17,0.5
178,3,18,0.3942307692307692
178,3,19,0.3269230769230769
178,3,20,0.23076923076923078
178,3,21,0.22115384615384615
178,3,22,0.19230769230769232
178,3,23,0.14423076923076922
178,4,0,0.11538461538461539
178,4,1,0.07692307692307693
178,4,2,0.057692307692307696
178,4,3,0.057692307692307696
178,4,4,0.038461538461538464
178,4,5,0.11538461538461539
178,4,6,0.1346153846153846
178,4,7,0.17307692307692307
178,4,8,0.18269230769230768
178,4,9,0.375
178,4,10,0.5384615384615384
178,4,11,0.38461538461538464
